"gene_id"	"gene_name"	"count"	"CPM"
"ENSG00000178821.12"	"TMEM52"	89	4.08993101889727
"ENSG00000142609.18"	"CFAP74"	169.65282	7.79627338158871
"ENSG00000233542.1"	"AL391845.2"	1	0.0459542811112053
"ENSG00000187730.8"	"GABRD"	2	0.0919085622224105
"ENSG00000226969.1"	"AL391845.1"	1	0.0459542811112053
"ENSG00000067606.16"	"PRKCZ"	937.008597	43.059556470154
"ENSG00000271806.1"	"AL590822.2"	74	3.40061680222919
"ENSG00000182873.5"	"PRKCZ-AS1"	4	0.183817124444821
"ENSG00000162585.16"	"FAAP20"	357.333333	16.4209964350859
"ENSG00000234396.3"	"AL590822.1"	167.38099	7.69187306713183
"ENSG00000157933.9"	"SKI"	1361.45633	62.5647469094498
"ENSG00000116151.13"	"MORN1"	230.02177	10.570485080277
"ENSG00000272161.1"	"AL589739.1"	2	0.0919085622224105
"ENSG00000269896.2"	"AL513477.1"	6	0.275725686667232
"ENSG00000272420.1"	"AL513477.2"	14	0.643359935556874
"ENSG00000157916.19"	"RER1"	873	40.1180874100822
"ENSG00000157911.10"	"PEX10"	246	11.3047531533565
"ENSG00000149527.17"	"PLCH2"	96	4.41161098667571
"ENSG00000224387.1"	"AL139246.1"	0	0
"ENSG00000229393.1"	"AL139246.4"	0	0
"ENSG00000157881.13"	"PANK4"	111	5.10092520334378
"ENSG00000197921.5"	"HES5"	0	0
"ENSG00000272449.2"	"AL139246.5"	27	1.24076559000254
"ENSG00000238164.6"	"TNFRSF14-AS1"	144	6.61741648001356
"ENSG00000157873.17"	"TNFRSF14"	867	39.842361723415
"ENSG00000225931.3"	"AL139246.2"	0	0
"ENSG00000228037.1"	"AL139246.3"	1	0.0459542811112053
"ENSG00000157870.15"	"PRXL2B"	29	1.33267415222495
"ENSG00000142606.15"	"MMEL1"	1.25	0.0574428513890066
"ENSG00000237058.1"	"AL831784.1"	0	0
"ENSG00000215912.12"	"TTC34"	8	0.367634248889642
"ENSG00000285945.1"	"AC242022.2"	1.5	0.0689314216668079
"ENSG00000283259.1"	"AC242022.1"	0.5	0.0229771405556026
"ENSG00000233234.1"	"AL592464.2"	0	0
"ENSG00000231630.1"	"AL592464.1"	0	0
"ENSG00000284745.1"	"AL589702.1"	0	0
"ENSG00000169717.6"	"ACTRT2"	0	0
"ENSG00000177133.10"	"LINC00982"	6	0.275725686667232
"ENSG00000142611.16"	"PRDM16"	25.01789	1.14967914986921
"ENSG00000283572.1"	"MIR4251"	0	0
"ENSG00000226286.1"	"AL008733.1"	0	0
"ENSG00000279839.1"	"AL512383.1"	2	0.0919085622224105
"ENSG00000272235.1"	"AL590438.1"	0	0
"ENSG00000130762.14"	"ARHGEF16"	134	6.1578736689015
"ENSG00000272088.1"	"AL512413.1"	4	0.183817124444821
"ENSG00000162591.15"	"MEGF6"	58	2.66534830444991
"ENSG00000207776.1"	"MIR551A"	0	0
"ENSG00000238260.1"	"AL513320.1"	7	0.321679967778437
"ENSG00000158109.14"	"TPRG1L"	194	8.91513053557382
"ENSG00000116213.15"	"WRAP73"	176.18519	8.09646374889111
"ENSG00000078900.14"	"TP73"	18.204037	0.836553433656782
"ENSG00000227589.1"	"AL136528.1"	2	0.0919085622224105
"ENSG00000235131.1"	"AL136528.2"	0	0
"ENSG00000227372.12"	"TP73-AS1"	264	12.1319302133582
"ENSG00000276189.1"	"RF02197"	0	0
"ENSG00000162592.9"	"CCDC27"	5	0.229771405556026
"ENSG00000235169.8"	"SMIM1"	15	0.689314216668079
"ENSG00000130764.9"	"LRRC47"	314.569373	14.4558093958176
"ENSG00000266075.2"	"RN7SL574P"	8	0.367634248889642
"ENSG00000272153.1"	"AL365330.1"	1	0.0459542811112053
"ENSG00000116198.12"	"CEP104"	769.08884	35.3429247528508
"ENSG00000169598.15"	"DFFB"	306.49717	14.0848571099689
"ENSG00000198912.10"	"C1orf174"	216	9.92612472002034
"ENSG00000236423.5"	"LINC01134"	109	5.00901664112137
"ENSG00000233304.6"	"LINC01346"	1	0.0459542811112053
"ENSG00000226374.2"	"LINC01345"	0	0
"ENSG00000284668.1"	"AL805961.1"	2	0.0919085622224105
"ENSG00000284703.1"	"AL805961.2"	4	0.183817124444821
"ENSG00000229280.1"	"EEF1DP6"	0	0
"ENSG00000235054.3"	"LINC01777"	0	0
"ENSG00000284694.1"	"AL355602.1"	0	0
"ENSG00000227169.2"	"Z98747.1"	0	0
"ENSG00000232596.2"	"LINC01646"	0	0
"ENSG00000196581.10"	"AJAP1"	21.114396	0.970296889277308
"ENSG00000284739.1"	"BX005132.2"	0	0
"ENSG00000284674.1"	"BX005132.1"	0.5	0.0229771405556026
"ENSG00000231510.1"	"AL691497.1"	0	0
"ENSG00000284616.1"	"AL139823.1"	1	0.0459542811112053
"ENSG00000284692.2"	"Z98259.3"	0	0
"ENSG00000284666.1"	"Z98259.2"	0	0
"ENSG00000260972.1"	"Z98259.1"	0	0
"ENSG00000283356.1"	"Z97988.1"	0	0
"ENSG00000236948.2"	"AL365255.1"	10	0.459542811112053
"ENSG00000264341.1"	"MIR4417"	0	0
"ENSG00000264101.1"	"MIR4689"	0	0
"ENSG00000131697.17"	"NPHP4"	384.39916	17.6647870575512
"ENSG00000069424.14"	"KCNAB2"	107.50355	4.94024835715251
"ENSG00000116254.17"	"CHD5"	6.167967	0.283444489402637
"ENSG00000285629.1"	"AL031847.2"	31.60078	1.45219112745335
"ENSG00000116251.10"	"RPL22"	721.059103	33.1357527170555
"ENSG00000226944.1"	"AL031847.1"	5.14286	0.236336434155573
"ENSG00000158286.12"	"RNF207"	326	14.9810956422529
"ENSG00000116237.15"	"ICMT"	125	5.74428513890066
"ENSG00000225077.3"	"LINC00337"	14.5	0.666337076112476
"ENSG00000173673.7"	"HES3"	0	0
"ENSG00000158292.6"	"GPR153"	671.78915	30.8715874465576
"ENSG00000097021.19"	"ACOT7"	259.328814	11.9172692187915
"ENSG00000271746.1"	"AL031848.2"	8	0.367634248889642
"ENSG00000069812.11"	"HES2"	10	0.459542811112053
"ENSG00000187017.16"	"ESPN"	385.51349	17.7159952916218
"ENSG00000265392.1"	"MIR4252"	0	0
"ENSG00000231868.1"	"AL031848.1"	2	0.0919085622224105
"ENSG00000215788.10"	"TNFRSF25"	60	2.75725686667232
"ENSG00000171680.21"	"PLEKHG5"	53.505193	2.45879268003129
"ENSG00000162408.10"	"NOL9"	670.824229	30.8272451956735
"ENSG00000253022.1"	"RNU6-731P"	0	0
"ENSG00000229519.2"	"AL591866.1"	5	0.229771405556026
"ENSG00000173662.20"	"TAS1R1"	23.57621	1.08342778187681
"ENSG00000204859.12"	"ZBTB48"	866.02564	39.7975857100715
"ENSG00000162413.16"	"KLHL21"	298	13.6943757711392
"ENSG00000116273.5"	"PHF13"	105	4.82519951667655
"ENSG00000041988.15"	"THAP3"	172.5	7.92711349168291
"ENSG00000007923.15"	"DNAJC11"	965.23534	44.3566961528298
